nld,ld,cycles
0.0,0.0,0.0
0.0006407317157656189,8.14580666271958e-05,0.9192708635597931
0.0008478967870384491,0.00010794758744908718,1.0056150198558285
0.0011250339499339068,0.00014350148744255345,1.3295834392294985
0.0014908922386313028,0.0001906444542083916,1.957361242502088
0.0018541362449284726,0.00023768565446806786,2.582471219266655
0.0022358339048501596,0.00028737147883409414,3.2769104730278715
0.002601345604387184,0.0003351974697353538,3.922593871793722
0.0027304650421222654,0.0003521505408729589,3.7589383551158244
0.002965770066548079,0.0003831241906404597,3.9628347249806555
0.003461476945676001,0.00044870995725626546,5.074093706664215
