SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle
7833.597780142125,0.0,,46.23181570716623,54590.342183230736,4475.535861445393
0.0,0.0,,3.4638958368304885e-16,17650.464072445127,4475.535861445393
0.0,0.0,,4.669645989757826,23612.086278693,420.37269236698336
0.0,0.0,,8.867068211525533,31171.12619701814,1577.2633903220965
29952.78001438786,0.0,,12.048812958108234,30948.389336518867,3056.3810765042645
27806.232684668183,0.0,,32.3269285436926,32520.640625327735,3043.3925725909203
60782.29766680141,0.0,,7.630527530645909,31141.596800554482,3380.9271097403225
11252.985186781661,0.0,,103.38911438690451,11000.976095028926,3143.5557471343122
42134.866670306554,0.0,,46.956335887289086,20047.988081079326,-796.7685726261097
15438.732474950546,0.0,,25.913122711816435,42234.226101698936,992.684040713349
