SM,dis_SM,cha_SM,w_SM,RT,Ref,dis_RT,cha_RT
26.261925659687503,10.0,0,16.261925659687503,25.42996,26.261925659687503,10.0,0.0
12.437145000000001,0.0,0,12.437145000000001,12.437145000000001,12.437145000000001,0.6662250000000007,0.0
16.69437,0.0,0,16.69437,11.722175,16.69437,2.6312749999999996,0.0
10.0,0.0,0,10.0,6.460019999999999,10.0,0.0,0.0
10.0,0.0,0,10.0,4.04838,10.0,0.0,0.0
10.0,0.0,0,10.0,0.6426,10.0,0.0,0.0
10.7545825,0.0,0,10.7545825,1.6442999999999999,10.7545825,0.0,0.0
20.000000000000014,0.0,0,20.000000000000014,4.050937500000001,20.000000000000014,0.0,-8.881784197001252e-16
24.959087165,0.0,0,24.959087165,7.8583275000000015,24.959087165,0.0,-1.7763568394002505e-15
23.972100139999988,0.0,0,23.972100139999988,16.4519025,23.972100139999988,0.0,0.0
25.589477815000002,0.0,0,25.589477815000002,16.74789,25.589477815000002,0.0,0.0
27.070694665,0.0,0,27.070694665,19.124197499999998,27.070694665,0.0,0.0
24.20223577,0.0,0,24.20223577,20.046120000000002,24.20223577,0.0,0.0
14.64788553,0.0,0,14.64788553,14.64788553,14.64788553,0.0,7.690451970000002
13.819591347692306,0.0,0,13.819591347692306,13.819591347692306,13.819591347692306,0.0,9.613716152307692
10.100328195,0.0,0,10.100328195,10.100328195,10.100328195,0.0,7.176409305
20.827809115,0.0,0,20.827809115,20.827809115,20.827809115,5.927124115000003,0.0
17.821765,0.0,0,17.821765,17.821765,17.821765,5.207905,0.0
28.561700000000016,0.0,0,28.561700000000016,24.878079999999997,28.561700000000016,10.0,0.0
27.170659999999998,0.0,0,27.170659999999998,13.715505431750625,27.170659999999998,2.3755054317506277,0.0
22.112382499999985,0.0,0,22.112382499999985,6.751080000000002,22.112382499999985,0.0,-1.7763568394002505e-15
14.35078,0.0,0,14.35078,6.202979999999999,14.35078,0.0,0.0
15.452649999999998,0.0,0,15.452649999999998,4.740120000000001,15.452649999999998,0.0,-8.881784197001252e-16
15.5920375,0.0,0,15.5920375,3.2167800000000004,15.5920375,0.0,-8.881784197001252e-16
